Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
08/17/2026,FUND-A,2REF  280331C00645350,2REF  280331C00645350,REF 03/31/2028 645.35 C,50.00000000,134.661400,673307.00,0.92%,73216535.00,2450000,98.000000000000,
08/17/2026,FUND-A,2REF  280331C00691570,2REF  280331C00691570,REF 03/31/2028 691.57 C,-1196.00000000,102.620300,-12273387.88,-16.76%,73216535.00,2450000,98.000000000000,
08/17/2026,FUND-A,2REF  280331P00597550,2REF  280331P00597550,REF 03/31/2028 597.55 P,1196.00000000,22.973800,2747666.48,3.75%,73216535.00,2450000,98.000000000000,
08/17/2026,FUND-A,2REF  280331P00645350,2REF  280331P00645350,REF 03/31/2028 645.35 P,-50.00000000,31.365300,-156826.50,-0.21%,73216535.00,2450000,98.000000000000,
08/17/2026,FUND-A,8SYNMM0A0,8SYNMM0A0,SYNTHETIC BANK MMDA 09/01/2037,387047.17000000,100.000000,387047.17,0.53%,73216535.00,2450000,98.000000000000,Y
08/17/2026,FUND-A,REF,000000000,Synthetic Core Index ETF,114552.00000000,713.610000,81745452.72,111.65%,73216535.00,2450000,98.000000000000,
08/17/2026,FUND-A,Cash&Other,Cash&Other,Cash & Other,91795.55000000,1.000000,91795.55,0.13%,73216535.00,2450000,98.000000000000,Y
08/17/2026,FUND-B,8SYNMM0A0,8SYNMM0A0,SYNTHETIC BANK MMDA 09/01/2037,566207.06000000,100.000000,566207.06,1.19%,47667892.50,2025000,81.000000000000,Y
08/17/2026,FUND-B,PXY,000000001,Synthetic Proxy Index ETF,742000.00000000,63.910000,47421820.00,99.48%,47667892.50,2025000,81.000000000000,
08/17/2026,FUND-B,2PXY  271231P00058000,2PXY  271231P00058000,PXY 12/31/2027 58.00 P,3400.00000000,3.412000,1160080.00,2.43%,47667892.50,2025000,81.000000000000,
08/17/2026,FUND-B,2PXY  271231C00071500,2PXY  271231C00071500,PXY 12/31/2027 71.50 C,-3400.00000000,4.220000,-1434800.00,-3.01%,47667892.50,2025000,81.000000000000,
08/17/2026,FUND-C,8SYNMM0A0,8SYNMM0A0,SYNTHETIC BANK MMDA 09/01/2037,12500000.00000000,100.000000,12500000.00,100.00%,12500000.00,500000,20.000000000000,Y
