Synthetic Holdings Export
Generated for testing. Not a real product.
As of,2026-08-14

Account,Symbol,Description,Asset Class,Quantity,Price,Market Value,Sector
FUND-A,PXY   270331P00584000,PXY Mar 31 2027 584.00 Put,Option,6835,5.90,4032650.00,
FUND-A,PXY   260930P00598000,PXY Sep 30 2026 598.00 Put,Option,6835,0.51,348585.00,
FUND-A,PXY   261231P00615000,PXY Dec 31 2026 615.00 Put,Option,6835,3.98,2720330.00,
FUND-A,PXY   270630P00672000,PXY Jun 30 2027 672.00 Put,Option,6835,18.01,12309835.00,
FUND-A,REF   260819C07725000,REF Aug 19 2026 7725.00 Call,Option,-909,78.40,-7126560.00,
FUND-A,REF   260824C07800000,REF Aug 24 2026 7800.00 Call,Option,-909,42.15,-3831435.00,
FUND-A,REF   260828C07875000,REF Aug 28 2026 7875.00 Call,Option,-909,21.60,-1963440.00,
FUND-A,NAME-001,Constituent One,Equity,1000000,177.19,177190000.00,Information Technology
FUND-A,NAME-002,Constituent Two,Equity,900000,170.48,153432000.00,Information Technology
FUND-A,NAME-003,Constituent Three,Equity,800000,148.55,118840000.00,Communication Services
FUND-A,NAME-004,Constituent Four,Equity,700000,126.60,88620000.00,Consumer Discretionary
FUND-A,NAME-005,Constituent Five,Equity,600000,136.86,82116000.00,Financials
FUND-A,NAME-006,Constituent Six,Equity,5000000,308.14,1540700000.00,Various
FUND-A,CASH,Cash and equivalents,Cash,,,34571680.00,
FUND-B,REF   270319C00000940,REF Mar 19 2027 0.94 Call,Option,16104,,,
FUND-B,REF   270319P00093590,REF Mar 19 2027 93.59 Put,Option,16104,,,
FUND-B,REF   270319P00079550,REF Mar 19 2027 79.55 Put,Option,-16104,,,
FUND-B,REF   270319C00108400,REF Mar 19 2027 108.40 Call,Option,-16104,,,
